# SPARC Rotation Curves from VizieR (J/AJ/152/157)
# Reference: Lelli, McGaugh & Schombert (2016), AJ, 152, 157
# Format: Galaxy  D(Mpc)  R(kpc)  Vobs  e_Vobs  Vgas  Vdisk  Vbul
#
F563-1                 48.9    11.84   106.50   9.48    30.86    27.77     0.00
F563-1                 48.9    14.56   112.00  11.00    30.44    25.73     0.00
F563-1                 48.9    15.43   111.50   9.40    30.70    25.11     0.00
F563-1                 48.9    17.93   111.00  24.30    33.36    23.48     0.00
F563-1                 48.9    19.02   112.50   7.75    34.35    22.95     0.00
F563-1                 48.9    20.10   106.00  10.70    35.34    22.07     0.00
F563-V1                54.0     1.31    12.00   5.00     4.66    11.06     0.00
F563-V1                54.0     2.63    21.70   5.00     9.66    16.85     0.00
F563-V1                54.0     3.93    28.60   5.00    13.79    23.41     0.00
F563-V1                54.0     5.24    29.50   5.00    16.46    24.18     0.00
F563-V1                54.0     6.55    28.60   5.00    18.52    23.59     0.00
F563-V1                54.0     7.87    27.30   5.00    20.17    23.33     0.00
F563-V2                59.7     0.28    11.90   7.89     0.95     6.22     0.00
F563-V2                59.7     0.87    34.80   7.89     2.93    17.64     0.00
F563-V2                59.7     1.46    58.50   8.68     4.98    27.33     0.00
F563-V2                59.7     2.05    81.50  14.20     7.20    35.16     0.00
F563-V2                59.7     2.35    91.80  17.50     8.24    37.71     0.00
F563-V2                59.7     4.76   114.00   8.68    16.62    45.06     0.00
F563-V2                59.7     7.86   116.00   8.68    34.33    41.16     0.00
F563-V2                59.7     8.70   117.00  16.60    39.57    40.09     0.00
F563-V2                59.7    10.18   118.00  51.90    39.57    38.11     0.00
F563-V2                59.7    10.47   118.00  40.30    39.57    37.78     0.00
F565-V2                51.8     1.26    21.70  10.00     5.70    11.40     0.00
F565-V2                51.8     2.51    40.30  10.00    10.70    17.23     0.00
F565-V2                51.8     3.78    57.70   7.00    14.75    19.15     0.00
F565-V2                51.8     5.03    68.50   7.00    18.18    18.51     0.00
F565-V2                51.8     6.29    73.50   7.00    21.50    20.41     0.00
F565-V2                51.8     7.54    78.50   5.00    24.72    20.52     0.00
F565-V2                51.8     8.80    83.10   6.00    27.11    18.68     0.00
F567-2                 79.0     1.92    26.90   8.00    -8.25    24.52     0.00
F567-2                 79.0     3.83    46.80   5.00   -11.91    32.41     0.00
F567-2                 79.0     5.75    47.60   5.00    -2.02    32.86     0.00
F567-2                 79.0     7.67    48.10   8.00    17.45    32.97     0.00
F567-2                 79.0     9.59    52.20  10.00    24.22    33.05     0.00
F568-1                 90.7     0.44    15.70   9.10    -2.08    12.26     0.00
F568-1                 90.7     1.32    44.50   9.10    -5.39    28.49     0.00
F568-1                 90.7     2.20    69.40   9.10    -6.26    35.84     0.00
F568-1                 90.7     3.08    90.00  11.40    -3.53    40.15     0.00
F568-1                 90.7     3.96   105.00   9.88     1.83    41.23     0.00
F568-1                 90.7     4.84   113.00  16.20     8.40    42.44     0.00
F568-1                 90.7     5.53   117.00  24.80    13.64    43.19     0.00
F568-1                 90.7     7.48   124.00   9.10    27.27    47.20     0.00
F568-1                 90.7     8.37   127.00   9.10    32.13    48.60     0.00
F568-1                 90.7     9.24   130.00   9.10    36.26    48.96     0.00
F568-1                 90.7    10.13   133.00   9.10    39.77    48.92     0.00
F568-1                 90.7    13.23   142.00  23.80    47.41    49.96     0.00
F568-3                 82.4     0.64    12.40   8.60     1.18    13.56     0.00
F568-3                 82.4     1.18    21.90   6.20     1.55    21.17     0.00
F568-3                 82.4     1.80    32.30   1.88     1.60    27.72     0.00
F568-3                 82.4     2.03    37.90   6.20     1.54    29.76     0.00
F568-3                 82.4     2.78    53.10   9.50     1.46    36.40     0.00
F568-3                 82.4     3.00    62.40  11.00     1.62    38.08     0.00
F568-3                 82.4     3.64    68.00   6.20     2.96    42.40     0.00
F568-3                 82.4     4.19    78.00   7.98     5.28    45.43     0.00
F568-3                 82.4     4.60    82.30   6.20     6.86    46.43     0.00
F568-3                 82.4     5.14    85.70   6.30     8.92    47.19     0.00
F568-3                 82.4     5.39    85.50   6.51     9.95    47.91     0.00
F568-3                 82.4     6.31    89.50  15.60    14.48    50.48     0.00
F568-3                 82.4     9.10    95.20  15.50    26.69    51.31     0.00
F568-3                 82.4    10.17    97.50   6.20    29.90    52.01     0.00
F568-3                 82.4    11.99   101.00  10.20    33.72    51.60     0.00
F568-3                 82.4    14.02   107.00  10.70    36.41    50.13     0.00
F568-3                 82.4    15.94   117.00  11.70    38.69    49.27     0.00
F568-3                 82.4    17.98   120.00  12.00    39.00    48.97     0.00
F568-V1                80.6     0.39    17.40  30.40    -1.11    12.25     0.00
F568-V1                80.6     1.18    46.30  37.10    -2.76    28.99     0.00
F568-V1                80.6     1.95    69.10  13.10    -2.63    34.78     0.00
F568-V1                80.6     2.74    85.20   6.20    -0.03    37.08     0.00
F568-V1                80.6     3.53    93.20   6.20     3.84    41.20     0.00
F568-V1                80.6     4.30   100.00  12.40     7.34    44.37     0.00
F568-V1                80.6     5.09   108.00   6.20     9.92    45.35     0.00
F568-V1                80.6     5.87   112.00   6.20    12.15    44.94     0.00
F568-V1                80.6     6.40   113.00  24.90    13.65    45.12     0.00
F568-V1                80.6     7.44   113.00  15.50    17.06    45.76     0.00
F568-V1                80.6     8.21   112.00  13.10    19.87    46.01     0.00
F568-V1                80.6     9.00   111.00  26.40    22.99    44.52     0.00
